index,position_label
572,7.0
573,7.0
574,7.0
575,7.0
576,7.0
577,7.0
578,7.0
579,7.0
580,7.0
581,7.0
582,8.0
583,8.0
584,8.0
585,8.0
586,8.0
587,8.0
588,8.0
589,8.0
590,8.0
591,8.0
592,0.0
593,0.0
594,0.0
595,1.0
596,1.0
597,1.0
598,2.0
599,2.0
600,2.0
601,3.0
602,3.0
603,3.0
604,4.0
605,4.0
606,4.0
607,5.0
608,5.0
609,5.0
610,6.0
611,6.0
612,6.0
613,7.0
614,7.0
615,7.0
616,8.0
617,8.0
618,8.0
619,9.0
620,9.0
621,9.0
622,10.0
623,10.0
624,10.0
625,11.0
626,11.0
627,11.0
628,12.0
629,12.0
630,12.0
631,13.0
632,13.0
633,13.0
634,14.0
635,14.0
636,14.0
